21
# x y z
-15	0.657	0
-13.5	1.166	0
-12	1.608	0
-10.5	0.601	0
-9	0.393	0
-7.5	1.337	0
-6	1.405	0
-4.5	0.769	0
-3	0.681	0
-1.5	1.204	0
0	1.318	0
1.5	0.944	0
3	0.417	0
4.5	1.015	0
6	1.589	0
7.5	1.3	0
9	0.653	0
10.5	0.609	0
12	1.354	0
13.5	1.228	0
15	0.775	0
171
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	5.29760203767043e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.01494425260023e+01	-5.00953921840875e+00	1.00404685672430e+02	-5.00953921840875e+00	1
2	3	4	5	5.13267433113354e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.90280672375050e+01	-2.56394613619283e+00	1.00579467678994e+02	-2.56394613619283e+00	1
3	4	5	6	9.70775493480426e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.23738244125365e+01	-3.01133035199579e+00	9.75829192968408e+01	-3.01133035199579e+00	1
4	5	6	7	9.68644990532886e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.02146611796518e+01	-1.96986170533127e+00	9.98740823832636e+01	-1.96986170533127e+00	1
5	6	7	8	7.02053093877358e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.77296789086983e+01	-5.67866564397357e+00	9.99740849942518e+01	-5.67866564397357e+00	1
6	7	8	9	3.27662146597780e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.23889814570116e+01	-3.09906445972563e+00	1.00046648666788e+02	-3.09906445972563e+00	1
7	8	9	10	3.92108153132156e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.37547744290458e+01	-2.95743511859524e+00	9.94361233332513e+01	-2.95743511859524e+00	1
8	9	10	11	1.46351494813211e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.59836915018493e+01	-2.78037219184379e+00	9.85838369682902e+01	-2.78037219184379e+00	1
9	10	11	12	2.96120277064587e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.52251223103418e+01	-4.00617778300821e+00	1.01355572841674e+02	-4.00617778300821e+00	1
10	11	12	13	2.61055272179894e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.32862453438538e+01	-4.33775455363729e+00	1.01273708751644e+02	-4.33775455363729e+00	1
11	12	13	14	5.11345664246456e-05	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.64068845799208e+01	-2.63493384503088e+00	9.59346376970383e+01	-2.63493384503088e+00	1
12	13	14	15	2.34587133375146e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-4.48395304261829e+01	-2.14144812925041e+00	9.57962743963734e+01	-2.14144812925041e+00	1
13	14	15	16	1.41537074205041e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.39471427523419e+01	-4.23381678363407e+00	9.99528014367775e+01	-4.23381678363407e+00	1
14	15	16	17	4.20645322765357e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.89737926291197e+01	-3.51603020617640e+00	1.01444207197257e+02	-3.51603020617640e+00	1
15	16	17	18	3.42714516526772e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.72467887950389e+01	-3.66234352303651e+00	9.94451155881327e+01	-3.66234352303651e+00	1
16	17	18	19	8.02277269221615e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.51376725009812e+01	-1.77599887654586e+00	9.71388188585264e+01	-1.77599887654586e+00	1
17	18	19	20	1.61285711666000e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.57995697124589e+01	-3.88924027499288e+00	1.00178890349802e+02	-3.88924027499288e+00	1
18	19	20	21	4.04050856814538e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.38029065402605e+01	-4.24687470904141e+00	1.01496408563247e+02	-4.24687470904141e+00	1
1	2	4	5	1.88618590121053e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.40028106109844e+01	-1.31837285729801e+00	9.94035220236669e+01	-1.31837285729801e+00	1
2	3	5	6	1.74577812831838e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.86683775168607e+02	-5.04902892234460e-01	9.44217301356946e+01	-5.04902892234460e-01	1
3	4	6	7	2.57550390722771e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.54632703856397e+02	-3.68752260892680e-01	9.41382157513338e+01	-3.68752260892680e-01	1
4	5	7	8	7.44459157661625e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.01435866521778e+02	-9.65236488927115e-01	9.78367099546758e+01	-9.65236488927115e-01	1
5	6	8	9	1.91877121529904e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.24828684199585e+01	-1.60681162109328e+00	9.84717873514907e+01	-1.60681162109328e+00	1
6	7	9	10	2.65138754492255e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.67446298909990e+02	-5.96334093684116e-01	9.98274617527871e+01	-5.96334093684116e-01	1
7	8	10	11	6.02302099410371e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.85416810039641e+02	-5.33704091026624e-01	9.90173124997865e+01	-5.33704091026624e-01	1
8	9	11	12	2.46324211248527e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.18204904943539e+02	-8.38579664202488e-01	1.01565899259228e+02	-8.38579664202488e-01	1
9	10	12	13	1.92360964781129e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.87406062293947e+01	-1.42819298922195e+00	9.79860017994167e+01	-1.42819298922195e+00	1
10	11	13	14	3.01547342333613e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13491689113921e+02	-7.84082900780266e-01	8.92552304252039e+01	-7.84082900780266e-01	1
11	12	14	15	3.47117697052411e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.57780543912926e+02	-3.19781552237421e-01	8.24048483554298e+01	-3.19781552237421e-01	1
12	13	15	16	1.16867803761954e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.41106817283082e+02	-6.35292910620405e-01	8.85965090425071e+01	-6.35292910620405e-01	1
13	14	16	17	1.14282281451501e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.97985713102806e+01	-1.41446873594648e+00	9.98561818625543e+01	-1.41446873594648e+00	1
14	15	17	18	7.51933032686776e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.53425077126933e+01	-1.02684701459408e+00	9.86383281601931e+01	-1.02684701459408e+00	1
15	16	18	19	7.91031947043035e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.20722719996504e+02	-4.23085525026683e-01	9.41232897987446e+01	-4.23085525026683e-01	1
16	17	19	20	9.09387454794734e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.09180230081542e+02	-4.53116180949734e-01	9.39210027555712e+01	-4.53116180949734e-01	1
17	18	20	21	1.40279431093610e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.03253827907246e+01	-1.40297020322687e+00	1.00048475408696e+02	-1.40297020322687e+00	1
1	2	5	6	1.40185106279229e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.27647736984341e+02	-3.98361310443727e-01	8.94147674573414e+01	-3.98361310443727e-01	1
2	3	6	7	5.86857093800268e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.65158121814590e+02	-9.48403565162395e-02	9.20731255268629e+01	-9.48403565162395e-02	1
3	4	7	8	2.19045562580997e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.62990575727666e+02	-2.58184243366190e-01	9.57713081411774e+01	-2.58184243366190e-01	1
4	5	8	9	9.90536325130686e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.80449365765699e+02	-5.43530628157227e-01	9.71082415032784e+01	-5.43530628157227e-01	1
5	6	9	10	5.66297729602776e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.92806820619251e+02	-5.24048596436656e-01	1.00467955689008e+02	-5.24048596436656e-01	1
6	7	10	11	9.96513650876551e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-6.19206424308049e+02	-1.61930669094982e-01	1.00368429535676e+02	-1.61930669094982e-01	1
7	8	11	12	5.03475654116210e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-4.17437500556063e+02	-2.36031859815536e-01	9.80324823533413e+01	-2.36031859815536e-01	1
