0;95.685639
1;72.428475
2;97.347617
3;72.911215
4;72.987794
5;72.939828
6;73.024821
7;78.381288
8;97.118027
9;72.072611
10;73.929493
11;97.263789
12;75.815968
13;91.438362
14;72.400711
15;72.547938
16;76.838307
17;101.002625
18;72.443869
19;92.646056
20;72.550854
21;72.404761
22;105.568905
23;91.439502
24;86.703982
25;72.127993
26;71.547648
27;106.368882
28;99.069808
29;72.868037
30;71.408051
31;102.404662
32;83.930383
33;103.083522
34;112.093557
35;95.648258
36;96.451808
37;81.242403
38;98.882683
39;101.283564
40;101.376274
41;94.192945
42;96.065575
43;98.578827
44;102.664764
45;94.291448
46;76.426609
47;98.915776
48;95.608912
49;96.233421
50;91.017450
51;106.004192
52;96.361247
53;95.286144
54;94.115153
55;96.538153
56;99.201800
57;108.006355
58;95.682167
59;98.330543
60;95.039669
61;99.122314
62;96.527929
63;93.571595
64;102.430276
65;100.924469
66;102.725419
67;107.553501
68;72.511883
69;72.482492
70;88.548423
71;72.542745
72;72.823219
73;93.902951
74;98.752130
75;100.602739
76;100.520944
77;96.968567
78;72.582920
79;76.853574
80;95.954131
81;102.523244
82;97.992222
83;108.478900
84;104.431729
85;72.540225
86;86.191179
87;72.587278
88;93.993460
89;72.294507
90;72.635559
91;72.520977
92;85.238498
93;114.410121
94;108.171329
95;72.687443
96;96.637197
97;80.522345
98;97.244375
99;100.804355
100;90.995377
101;96.527552
102;98.166724
103;93.921316
104;97.257880
105;94.902250
106;114.074743
107;105.180035
108;105.001537
109;103.009031
110;98.969189
111;104.237828
112;106.783297
113;103.955358
114;110.462950
115;107.227935
116;90.873930
117;91.243364
118;93.420800
119;91.437571
120;98.634770
121;92.169610
122;106.109854
123;89.704092
124;106.173269
125;99.351539
126;100.671659
127;91.070373
128;94.007584
129;98.547053
130;94.456336
131;95.479082
132;103.299645
133;100.495918
134;98.289107
135;94.316663
136;93.990120
137;103.808600
138;97.485722
139;91.626408
140;75.616261
141;97.083036
142;95.529737
143;92.971853
144;104.565697
145;78.030072
146;93.974256
147;96.447433
148;102.940312
149;98.132830
150;95.977182
151;108.270616
152;93.742249
153;101.975536
154;90.305228
155;93.546117
156;102.229125
157;105.548984
158;95.471952
159;96.172917
160;72.482812
161;99.906000
162;95.599367
163;94.800231
164;101.511183
165;94.528072
166;96.598907
167;82.872572
168;107.953401
169;100.332017
170;99.084811
171;73.279381
172;75.283199
173;75.483845
174;74.818447
175;99.506514
176;72.942951
177;98.522816
178;75.199012
179;72.782419
180;93.981561
181;75.525728
182;72.882648
183;75.621460
184;76.249735
185;72.689221
186;74.623982
187;95.762693
188;75.556526
189;99.303092
190;80.113674
191;78.317547
192;72.653339
193;72.618033
194;101.452579
195;74.595924
196;74.948209
197;103.033014
198;98.591564
199;74.384439
200;91.981362
201;111.734298
202;101.560229
203;72.991687
204;114.599857
205;73.121240
206;96.705903
207;106.726298
208;107.134936
209;91.185305
210;91.889101
211;94.132654
212;98.661716
213;99.338973
214;96.414729
215;97.059967
216;96.556472
217;89.935687
218;106.411300
219;94.470371
220;99.474511
221;105.210088
222;94.978986
223;78.422460
224;93.337904
225;91.945539
226;103.653088
227;101.269758
228;93.864148
229;73.453975
230;90.618458
231;84.299491
232;95.924816
233;96.950654
234;94.433916
235;87.527320
236;100.798515
237;93.676521
238;93.565270
239;104.204747
240;101.952019
241;94.239882
242;101.879191
243;99.436715
244;102.891068
245;93.452108
246;91.124924
247;75.707259
248;75.743082
249;75.563813
250;72.776031
251;98.151667
252;105.303728
253;75.588334
254;85.841283
255;73.422120
256;97.998273
257;96.546236
258;74.319028
259;75.721075
260;114.101942
261;98.851377
262;73.241518
263;75.318175
264;102.498246
265;98.834028
266;103.056348
267;105.370723
268;99.820136
269;75.371109
270;73.640752
271;93.809265
272;101.428596
273;93.607852
274;94.547966
275;85.726411
276;104.477614
277;74.010452
278;97.504679
279;91.861110
280;82.993466
281;94.652805
282;100.480704
283;100.929276
284;100.286001
285;104.536036
286;99.756647
287;97.686456
288;104.143391
289;108.229335
290;98.906142
291;93.397633
292;72.099293
293;101.648064
294;98.048659
295;111.770911
296;105.490444
297;92.222074
298;95.079074
299;100.144251
300;73.607036
301;100.092396
302;97.620185
303;99.918714
304;100.928654
305;97.440672
306;91.036537
307;101.092325
308;100.261294
309;113.634751
310;91.636463
311;95.932712
312;91.174737
313;97.158109
314;104.713880
315;97.923082
316;97.986902
317;76.560155
318;91.696450
319;106.497123
320;79.907666
321;79.159581
322;97.778823
323;96.530193
324;97.508489
325;99.912727
326;94.170908
327;97.456928
328;88.231602
329;86.383745
330;101.848834
331;108.630908
332;96.317504
333;94.177720
334;97.739246
335;94.403406
336;100.221741
337;93.800668
338;113.545642
339;105.888273
340;95.512754
341;96.254450
342;96.770184
343;91.965778
344;95.589732
345;93.030586
346;94.821315
347;96.443998
348;93.697257
349;99.971748
350;100.765286
351;107.237077
352;101.112768
353;73.355226
354;101.682113
355;97.493207
356;99.843660
357;94.674523
358;97.727951
359;103.221652
360;105.724448
361;98.423900
362;107.352931
363;100.701262
364;108.338981
365;96.755802
366;101.739500
367;106.931718
368;97.272290
369;104.106335
370;94.178019
371;97.086372
372;97.947729
373;97.579474
374;102.481363
375;98.289626
376;97.424266
377;103.712562
378;101.284170
379;101.783819
380;103.936431
381;101.436493
