Quadrupole ID;rhoa th
0;100.39636707123363
1;100.57018747014413
2;97.46071160090654
3;99.55997062266523
4;99.98234777850986
5;99.84962211857689
6;99.59635619773982
7;99.20890297737847
8;101.34177030829919
9;101.51983361912652
10;95.61207274603916
11;95.91114230337023
12;100.85517076877947
13;101.64701796529413
14;99.406451575292
15;97.55773040354893
16;100.19734428392452
17;101.55380635648919
18;98.50995322864358
19;94.15425668632332
20;94.10248480422783
21;97.82381335265447
22;98.16494388073639
23;99.73429860547938
24;98.97216114248576
25;97.42652683088043
26;98.00483781735376
27;89.05463608685321
28;82.08373467256395
29;89.1586618535254
30;99.31411563477776
31;98.14542607133174
32;93.14857497111552
33;94.08090438041124
34;99.47913893736843
35;91.03768010204078
36;91.42539605807171
37;94.42951670823545
38;98.13063104970222
39;100.72627360352168
40;100.32106933912775
41;98.56867394906746
42;92.44412122032837
43;80.45321304504328
44;73.79391793253559
45;74.29978321007931
46;79.78856172745512
47;89.22273067392003
48;88.78933522301959
49;89.47571483052884
50;91.9937068345628
51;88.72925805054017
52;92.14988612926986
53;95.3122508973194
54;99.25370912949997
55;101.75431272737896
56;99.90614611962788
57;91.14619833016965
58;74.53494452306464
59;67.62986865837587
60;67.41625593843065
61;67.11459734969051
62;70.79146920997115
63;78.64164855361648
64;84.76710665182993
65;86.6439363556961
66;89.40677773903407
67;93.00311271625772
68;94.90133951919
69;98.37979195164272
70;100.37744687871357
71;90.61676878263128
72;72.74113467000377
73;64.99214033231513
74;63.474112152635534
75;62.79090424706982
76;62.97615810211302
77;63.806829307144305
78;74.68770737702229
79;81.33558864912702
80;89.99580499233286
81;92.00157540969313
82;92.73996198169117
83;95.13924645059846
84;89.18971265154279
85;71.65533181860751
86;64.6732437577458
87;62.84413888890805
88;61.60854190048975
89;61.79127826964136
90;59.66222679442711
91;61.55218711217477
92;71.3056220636989
93;88.50655837457049
94;89.29850738725311
95;88.51160975183214
96;82.45291843498859
97;70.14714126390271
98;64.17204598687663
99;63.42410920357796
100;63.13112474229231
101;63.295562448898494
102;60.454342048069414
103;58.930923775428425
104;59.547597638829274
105;85.46073208483031
106;84.54385515534169
107;75.66829955654383
108;64.50308706875948
109;63.29430921879796
110;63.33068202993934
111;64.63111519084241
112;66.50967356577728
113;63.43354704199956
114;60.496860881531646
115;58.02708912506989
116;80.46593459295117
117;71.69000652654634
118;59.45662869168003
119;58.73886777902772
120;62.74814484748214
121;64.92124175923536
122;68.50435048459943
123;67.38162643934535
124;63.959083939036105
125;60.07723437772418
126;68.06912884458362
127;56.60242458609519
128;54.83045572660287
129;58.54081840347522
130;64.50908922804749
131;68.91619176051363
132;69.42415491867673
133;68.05899820480124
134;63.76957269006383
135;54.429917134140275
136;52.77257716571362
137;55.03394019786292
138;60.458148744574004
139;68.35580452833116
140;69.75970103405899
141;70.00047626058632
142;67.83840753860395
143;51.412631599776596
144;53.372589622013145
145;57.19449892550857
146;64.15653827218198
147;68.96865296986812
148;70.20728192279178
149;69.59571525318775
150;52.321111441612985
151;55.8279351462299
152;60.96723732031558
153;64.57151773717368
154;69.22901160535508
155;69.63003035872909
156;54.98931040621475
157;59.78357941887022
158;61.39908117767707
159;64.71059343841371
160;68.48732036350034
161;59.06577619980657
162;60.33600916596769
163;61.54990747892481
164;63.93143580164787
165;59.706431451345395
166;60.55038098221662
167;60.83087478259953
168;59.958054023099486
169;59.88125882420929
170;59.336420913335566
