Quadrupole ID;rhoa th
0;92.8982783208658
1;92.59260300847063
2;92.52235067813234
3;92.98295532211846
4;94.1465545913133
5;94.65316886898746
6;94.55877387308382
7;93.97690384552325
8;93.88473882428859
9;91.60216709709637
10;86.7106902679442
11;89.79058658641338
12;91.9127397776745
13;92.7800537848062
14;93.78779194250411
15;93.63951250955189
16;93.28800543726216
17;93.27367910762739
18;84.51868642643572
19;84.70397050678456
20;87.20906075482071
21;91.83890137452018
22;95.81067009731888
23;96.83742455333768
24;94.76552708707729
25;90.71497638219589
26;80.06629355418062
27;67.84367618145546
28;64.86947281298319
29;69.34388855905453
30;75.8675650581473
31;81.26611812060042
32;85.47603987036965
33;86.69081943492915
34;86.33905231072266
35;80.1310058693491
36;83.50553351956009
37;89.35131947255708
38;96.12147573241894
39;100.63341482824619
40;99.9874520802571
41;93.73326888765583
42;76.80965409677984
43;60.56583617099745
44;54.64160902299041
45;53.189306149749534
46;57.79470594025494
47;67.05371618773013
48;74.65845572216739
49;80.20424180417494
50;82.23155588493317
51;80.43191209111741
52;86.2568610166961
53;92.84344398861734
54;98.87776193864053
55;101.50874747909148
56;96.4356854367526
57;77.34540944521468
58;59.499527239946204
59;52.688152059750365
60;50.599635132038046
61;50.537507638346554
62;53.75150427583155
63;62.16102238994035
64;70.17199756586686
65;76.1857708708546
66;83.22422490955368
67;88.90757498585724
68;93.7609659105619
69;97.13953349072935
70;94.78816340581736
71;77.19253669926405
72;60.37038612627054
73;54.292493811553854
74;52.82652915425279
75;53.28888545243597
76;51.85712283268899
77;51.74299306786288
78;58.726473390120624
79;66.63863710836574
80;85.23612128983778
81;88.69637341520404
82;90.51997991717366
83;88.39067508422201
84;73.93853562447175
85;60.10070585686975
86;56.23284355987987
87;56.49676836240232
88;58.13436850822497
89;57.37243612400629
90;52.684299349006615
91;50.093956105187715
92;55.93325615118364
93;84.35356528644327
94;84.72120169777338
95;81.0234635547981
96;67.75112363382726
97;57.417329385165644
98;56.43608547760419
99;59.30151987805687
100;63.01306234412416
101;63.29325410561976
102;59.32805202973718
103;52.62911931933574
104;48.569450813338534
105;80.05762817483154
106;75.09361664985128
107;61.580417694599035
108;52.76565393214194
109;54.246312466694846
110;59.806757567030374
111;66.19113890926624
112;68.45039775115688
113;65.4031754618888
114;59.694002309281046
115;52.12325074736272
116;70.54695800574007
117;56.945853401389485
118;48.45167803719055
119;50.34236736264723
120;57.70425018451374
121;66.60203442503139
122;71.44096396539432
123;70.30652079842831
124;65.604587588303
125;59.34072717631169
126;53.53878278222026
127;45.44503465955374
128;46.93855814190241
129;53.91384726889514
130;64.15314313915
131;71.43563313667826
132;72.86162826665159
133;70.12870032452491
134;65.03128422022944
135;43.35633908173615
136;44.76502969451407
137;50.819241385706725
138;60.01081422711731
139;68.49793465118539
140;72.4163026802693
141;72.25538492738491
142;69.21568477140276
143;43.374133583331634
144;49.01247343963525
145;56.82824565220344
146;63.96784403854657
147;69.1507173452483
148;71.46790205210684
149;71.00733728377357
150;47.96565008535119
151;55.080598720215136
152;60.6504809227328
153;64.47921871156106
154;68.03202331471672
155;69.99191428914956
156;54.13774976694407
157;58.88779990473522
158;61.1958043549766
159;63.38373566272926
160;66.4975556036132
161;57.96441687347576
162;59.50364711914944
163;60.236576379268236
164;61.959400508391155
165;58.639765484493054
166;58.669030457046816
167;58.99678779378488
168;57.89526827405269
169;57.58177675158925
170;56.91695857686059
